epoch,loss,accuracy,precision,recall,f1
0,13.667062613135535,0.2594402487783207,0.2582131398593256,0.2594402487783207,0.2584366042916255
1,1.1242583990097046,0.6603731674811195,0.6586588025646084,0.6603731674811195,0.658619013148801
2,0.6313424594436131,0.7983118613949356,0.7978211559124496,0.7983118613949356,0.797720911061609
3,0.6053008125394794,0.8204131497112395,0.8205989861563431,0.8204131497112395,0.8202596889946157
4,0.36613322672903115,0.8861617059084851,0.8861868565958217,0.8861617059084851,0.8860610239205402
5,0.3290313463261787,0.8980453131941359,0.8980777632478109,0.8980453131941359,0.8979870537183414
6,0.36112838486830395,0.8917147934251444,0.8916307017473752,0.8917147934251444,0.8915726256642198
7,0.33258884978738235,0.9034873389604621,0.90351132365837,0.9034873389604621,0.9034616949221433
8,0.31807665275872177,0.9080408707241227,0.9081127557925863,0.9080408707241227,0.9080287770198893
9,0.35324256655806346,0.9008218569524655,0.900955395383756,0.9008218569524655,0.9008279185422103
